Date,Value,StationID,Organization,Latitude,Longitude,Lake,SampleDepth_m,Units,MaxDepth_m,Variable,Method
12/8/1992,2.8,4982450,UTAHDWQ,41.0569444,-112.4019444,Gilbert,9,ug/l,-9999,Chlorophyll,"Chlorophyll-A, Uncorrected for pheophytin"
12/8/1992,1.3,4982500,UTAHDWQ,41.161046,-112.72136,Gilbert,6.5,ug/l,-9999,Chlorophyll,"Chlorophyll-A, Uncorrected for pheophytin"
11/16/1993,4.3,4982000,UTAHDWQ,40.8308333,-112.2572222,Gilbert,19,ug/l,-9999,Chlorophyll,"Chlorophyll-A, Uncorrected for pheophytin"
11/16/1993,2.8,4982130,UTAHDWQ,41.140213,-112.443289,Gilbert,19.1,ug/l,-9999,Chlorophyll,"Chlorophyll-A, Uncorrected for pheophytin"
7/22/1994,9,4985120,UTAHDWQ,41.1055556,-112.225,Gilbert,-9999,ug/l,-9999,Chlorophyll,"Chlorophyll-A, Uncorrected for pheophytin"
7/22/1994,36.8,4985200,UTAHDWQ,41.0497499,-112.1886833,Farmington,-9999,ug/l,-9999,Chlorophyll,"Chlorophyll-A, Uncorrected for pheophytin"
8/31/1994,5.4,4985120,UTAHDWQ,41.1055556,-112.225,Gilbert,-9999,ug/l,-9999,Chlorophyll,"Chlorophyll-A, Uncorrected for pheophytin"
8/31/1994,39.9,4985200,UTAHDWQ,41.0497499,-112.1886833,Farmington,-9999,ug/l,-9999,Chlorophyll,"Chlorophyll-A, Uncorrected for pheophytin"
12/22/1994,8.4,4985120,UTAHDWQ,41.1055556,-112.225,Gilbert,-9999,ug/l,-9999,Chlorophyll,"Chlorophyll-A, Uncorrected for pheophytin"
6/21/1995,6.6,4985120,UTAHDWQ,41.1055556,-112.225,Gilbert,-9999,ug/l,-9999,Chlorophyll,"Chlorophyll-A, Uncorrected for pheophytin"
6/27/1995,0.2,4982000,UTAHDWQ,40.8308333,-112.2572222,Gilbert,4.25,ug/l,-9999,Chlorophyll,"Chlorophyll-A, Uncorrected for pheophytin"
6/27/1995,0.2,4982130,UTAHDWQ,41.140213,-112.443289,Gilbert,8.2,ug/l,-9999,Chlorophyll,"Chlorophyll-A, Uncorrected for pheophytin"
6/27/1995,0.2,4982500,UTAHDWQ,41.161046,-112.72136,Gilbert,6.2,ug/l,-9999,Chlorophyll,"Chlorophyll-A, Uncorrected for pheophytin"
6/27/1995,0.5,4982600,UTAHDWQ,41.218821,-112.834973,Gilbert,2.4,ug/l,-9999,Chlorophyll,"Chlorophyll-A, Uncorrected for pheophytin"
7/26/1995,8.4,4917520,UTAHDWQ,40.342169,-111.871326,Utah,-9999,ug/l,-9999,Chlorophyll,"Chlorophyll-A, Uncorrected for pheophytin"
7/26/1995,8.9,4917390,UTAHDWQ,40.237173,-111.764647,Utah,-9999,ug/l,-9999,Chlorophyll,"Chlorophyll-A, Uncorrected for pheophytin"
8/4/1995,8,2820,USGS,41.05638889,-112.5052778,Gilbert,1,ug/l,6,Chlorophyll,Welschmeyer Fluorometric Method
8/22/1995,8,4069,USGS,40.76861111,-112.3272222,Gilbert,1,ug/l,7.3,Chlorophyll,Welschmeyer Fluorometric Method
8/23/1995,2,3641,USGS,40.87138889,-112.2147222,Gilbert,1,ug/l,2.1,Chlorophyll,Welschmeyer Fluorometric Method
9/6/1995,4,2583,USGS,41.11666667,-112.2958333,Gilbert,1,ug/l,4.3,Chlorophyll,Welschmeyer Fluorometric Method
9/25/1995,2,3510,USGS,40.89888889,-112.3488889,Gilbert,1,ug/l,9.2,Chlorophyll,Welschmeyer Fluorometric Method
9/25/1995,10,3641,USGS,40.87138889,-112.2147222,Gilbert,1,ug/l,2.1,Chlorophyll,Welschmeyer Fluorometric Method
9/27/1995,9.3,4917310,UTAHDWQ,40.320873,-111.777538,Utah,-9999,ug/l,-9999,Chlorophyll,"Chlorophyll-A, Uncorrected for pheophytin"
9/27/1995,9.4,4917390,UTAHDWQ,40.237173,-111.764647,Utah,-9999,ug/l,-9999,Chlorophyll,"Chlorophyll-A, Uncorrected for pheophytin"
11/14/1995,1.6,4982000,UTAHDWQ,40.8308333,-112.2572222,Gilbert,-9999,ug/l,-9999,Chlorophyll,"Chlorophyll-A, Uncorrected for pheophytin"
11/14/1995,4.2,4982130,UTAHDWQ,41.140213,-112.443289,Gilbert,-9999,ug/l,-9999,Chlorophyll,"Chlorophyll-A, Uncorrected for pheophytin"
2/7/1996,55,3510,USGS,40.89888889,-112.3488889,Gilbert,1,ug/l,9.3,Chlorophyll,Welschmeyer Fluorometric Method
2/9/1996,68,2565,USGS,41.11222222,-112.6405556,Gilbert,1,ug/l,8.7,Chlorophyll,Welschmeyer Fluorometric Method
3/18/1996,111,3510,USGS,40.89888889,-112.3488889,Gilbert,1,ug/l,9.7,Chlorophyll,Welschmeyer Fluorometric Method
3/19/1996,37,2565,USGS,41.11222222,-112.6405556,Gilbert,1,ug/l,9.7,Chlorophyll,Welschmeyer Fluorometric Method
3/19/1996,40,2583,USGS,41.11666667,-112.2958333,Gilbert,1,ug/l,4.7,Chlorophyll,Welschmeyer Fluorometric Method
4/8/1996,50,3510,USGS,40.89888889,-112.3488889,Gilbert,1,ug/l,9.8,Chlorophyll,Welschmeyer Fluorometric Method
4/9/1996,32,2565,USGS,41.11222222,-112.6405556,Gilbert,1,ug/l,9,Chlorophyll,Welschmeyer Fluorometric Method
4/29/1996,64,3381,USGS,40.92666667,-112.445,Gilbert,1,ug/l,6.8,Chlorophyll,Welschmeyer Fluorometric Method
