Blue,CloudMask,CloudMaskConfidence,FieldValue,Green,ImageDate,ImageName,Lake,MaxDepth,Method,NIR,Organization,Red,SWIR1,SWIR2,SampleDepth,SamplingDate,Sensor,StationID
786,1,1,8.4,1209,7/26/1995,LT50380321995207,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,335,UTAHDWQ,787,85,97,-9999,7/26/1995,LANDSAT/LT5_SR,4917520
559,1,1,8.9,917,7/26/1995,LT50380321995207,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,235,UTAHDWQ,584,90,24,-9999,7/26/1995,LANDSAT/LT5_SR,4917390
993,1,1,9.3,1492,9/28/1995,LT50380321995271,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,424,UTAHDWQ,1035,39,72,-9999,9/27/1995,LANDSAT/LT5_SR,4917310
1075,1,1,9.4,1536,9/28/1995,LT50380321995271,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,357,UTAHDWQ,1125,51,-15,-9999,9/27/1995,LANDSAT/LT5_SR,4917390
1084,1,1,9.7,1525,7/15/1997,LT50380321997196,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,253,UTAHDWQ,928,38,58,-9999,7/15/1997,LANDSAT/LT5_SR,4917500
601,1,1,11.3,905,7/15/1997,LT50380321997196,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,217,UTAHDWQ,478,14,23,-9999,7/15/1997,LANDSAT/LT5_SR,4917310
890,1,1,11.3,1318,7/15/1997,LT50380321997196,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,352,UTAHDWQ,1010,59,23,-9999,7/15/1997,LANDSAT/LT5_SR,4917770
890,1,1,12.5,1318,7/15/1997,LT50380321997196,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,352,UTAHDWQ,1010,59,23,-9999,7/15/1997,LANDSAT/LT5_SR,4917770
1269,1,1,13.4,1694,7/15/1997,LT50380321997196,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,390,UTAHDWQ,1235,61,93,-9999,7/15/1997,LANDSAT/LT5_SR,4917370
1071,1,1,13.7,1509,9/1/1997,LT50380321997244,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,421,UTAHDWQ,1267,4,-18,-9999,9/11/1997,LANDSAT/LT5_SR,4917770
642,1,1,13.7,1077,9/17/1997,LT50380321997260,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,456,UTAHDWQ,780,38,24,-9999,9/11/1997,LANDSAT/LT5_SR,4917770
532,1,1,15.7,988,9/1/1997,LT50380321997244,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,506,UTAHDWQ,685,33,21,-9999,9/11/1997,LANDSAT/LT5_SR,4917310
1010,1,1,15.7,1499,9/17/1997,LT50380321997260,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,459,UTAHDWQ,1124,40,65,-9999,9/11/1997,LANDSAT/LT5_SR,4917310
532,1,1,16.3,988,9/1/1997,LT50380321997244,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,506,UTAHDWQ,685,33,21,-9999,9/11/1997,LANDSAT/LT5_SR,4917310
1010,1,1,16.3,1499,9/17/1997,LT50380321997260,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,459,UTAHDWQ,1124,40,65,-9999,9/11/1997,LANDSAT/LT5_SR,4917310
532,1,1,16.8,988,9/1/1997,LT50380321997244,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,506,UTAHDWQ,685,33,21,-9999,9/11/1997,LANDSAT/LT5_SR,4917310
1010,1,1,16.8,1499,9/17/1997,LT50380321997260,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,459,UTAHDWQ,1124,40,65,-9999,9/11/1997,LANDSAT/LT5_SR,4917310
730,1,1,18.4,1228,9/1/1997,LT50380321997244,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,543,UTAHDWQ,878,32,59,-9999,9/11/1997,LANDSAT/LT5_SR,4917390
876,1,1,18.4,1416,9/17/1997,LT50380321997260,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,580,UTAHDWQ,1054,38,64,-9999,9/11/1997,LANDSAT/LT5_SR,4917390
1351,1,1,19.4,1830,7/5/1999,LT50380321999186,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,527,UTAHDWQ,1452,139,120,-9999,7/6/1999,LANDSAT/LT5_SR,4917520
1291,1,1,19.4,1687,7/13/1999,LE70380321999194,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,330,UTAHDWQ,1178,33,77,-9999,7/6/1999,LANDSAT/LE7_SR,4917520
1351,1,1,26,1830,7/5/1999,LT50380321999186,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,527,UTAHDWQ,1452,139,120,-9999,7/6/1999,LANDSAT/LT5_SR,4917520
1291,1,1,26,1687,7/13/1999,LE70380321999194,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,330,UTAHDWQ,1178,33,77,-9999,7/6/1999,LANDSAT/LE7_SR,4917520
1608,1,1,27.2,2015,7/5/1999,LT50380321999186,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,785,UTAHDWQ,1775,128,124,-9999,7/6/1999,LANDSAT/LT5_SR,4917500
1617,4,1,27.2,1989,7/13/1999,LE70380321999194,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,849,UTAHDWQ,1421,436,307,-9999,7/6/1999,LANDSAT/LE7_SR,4917500
1255,1,1,29.4,1752,7/5/1999,LT50380321999186,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,576,UTAHDWQ,1339,79,21,-9999,7/6/1999,LANDSAT/LT5_SR,4917390
1042,1,1,29.4,1390,7/13/1999,LE70380321999194,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,343,UTAHDWQ,857,117,121,-9999,7/6/1999,LANDSAT/LE7_SR,4917390
1608,1,1,32.2,2015,7/5/1999,LT50380321999186,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,785,UTAHDWQ,1775,128,124,-9999,7/6/1999,LANDSAT/LT5_SR,4917500
1617,4,1,32.2,1989,7/13/1999,LE70380321999194,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,849,UTAHDWQ,1421,436,307,-9999,7/6/1999,LANDSAT/LE7_SR,4917500
1370,1,1,32.8,1858,7/5/1999,LT50380321999186,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,535,UTAHDWQ,1451,52,53,-9999,7/6/1999,LANDSAT/LT5_SR,4917370
1262,1,1,32.8,1664,7/13/1999,LE70380321999194,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,370,UTAHDWQ,1267,61,34,-9999,7/6/1999,LANDSAT/LE7_SR,4917370
819,1,1,33.2,1210,8/22/1999,LT50380321999234,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,273,UTAHDWQ,729,64,61,-9999,8/19/1999,LANDSAT/LT5_SR,4917500
1073,1,1,33.2,1513,8/14/1999,LE70380321999226,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,531,UTAHDWQ,1112,173,137,-9999,8/19/1999,LANDSAT/LE7_SR,4917500
960,1,1,41.9,1395,8/22/1999,LT50380321999234,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,303,UTAHDWQ,936,36,22,-9999,8/19/1999,LANDSAT/LT5_SR,4917370
1235,1,1,41.9,1690,8/14/1999,LE70380321999226,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,644,UTAHDWQ,1404,212,181,-9999,8/19/1999,LANDSAT/LE7_SR,4917370
960,1,1,43.3,1395,8/22/1999,LT50380321999234,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,303,UTAHDWQ,936,36,22,-9999,8/19/1999,LANDSAT/LT5_SR,4917370
1235,1,1,43.3,1690,8/14/1999,LE70380321999226,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,644,UTAHDWQ,1404,212,181,-9999,8/19/1999,LANDSAT/LE7_SR,4917370
765,1,1,62.2,1201,8/22/1999,LT50380321999234,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,400,UTAHDWQ,831,79,95,-9999,8/19/1999,LANDSAT/LT5_SR,4917520
1417,0,1,62.2,1931,8/14/1999,LE70380321999226,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,1160,UTAHDWQ,1739,256,228,-9999,8/19/1999,LANDSAT/LE7_SR,4917520
385,0,1,150.9,809,8/22/1999,LT50380321999234,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,631,UTAHDWQ,450,77,18,-9999,8/19/1999,LANDSAT/LT5_SR,4917310
1093,1,1,150.9,1571,8/14/1999,LE70380321999226,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,700,UTAHDWQ,1229,214,158,-9999,8/19/1999,LANDSAT/LE7_SR,4917310
1230,1,1,3.8,1702,7/10/2001,LT50380322001191,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,350,UTAHDWQ,1157,57,57,-9999,7/19/2001,LANDSAT/LT5_SR,4917500
20000,4,3,3.8,7213,7/26/2001,LT50380322001207,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,7547,UTAHDWQ,20000,2788,2479,-9999,7/19/2001,LANDSAT/LT5_SR,4917500
1277,1,1,3.8,1720,7/18/2001,LE70380322001199,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,654,UTAHDWQ,1291,233,178,-9999,7/19/2001,LANDSAT/LE7_SR,4917500
1054,1,1,3.8,1531,7/10/2001,LT50380322001191,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,522,UTAHDWQ,1071,55,20,-9999,7/19/2001,LANDSAT/LT5_SR,4917310
2775,4,3,3.8,2955,7/26/2001,LT50380322001207,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,3166,UTAHDWQ,2879,1621,1336,-9999,7/19/2001,LANDSAT/LT5_SR,4917310
1055,1,1,3.8,1517,7/18/2001,LE70380322001199,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,582,UTAHDWQ,1111,189,201,-9999,7/19/2001,LANDSAT/LE7_SR,4917310
1049,1,1,0.9,1531,7/10/2001,LT50380322001191,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,518,UTAHDWQ,1069,170,125,-9999,7/19/2001,LANDSAT/LT5_SR,4917370
20000,4,3,0.9,5831,7/26/2001,LT50380322001207,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,6092,UTAHDWQ,5747,2860,2443,-9999,7/19/2001,LANDSAT/LT5_SR,4917370
1238,1,1,0.9,1644,7/18/2001,LE70380322001199,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,508,UTAHDWQ,1257,125,88,-9999,7/19/2001,LANDSAT/LE7_SR,4917370
1059,1,1,3.3,1566,7/10/2001,LT50380322001191,Utah,-9999,Chlorophyll-A Uncorrected for pheophytin,367,UTAHDWQ,1066,26,17,-9999,7/19/2001,LANDSAT/LT5_SR,4917390
