Blue,CloudMask,CloudMaskConfidence,Green,ImageDate,ImageName,Lake,NIR,Organization,Red,SWIR1,SWIR2,Sensor,StationID
1295,1,1,1763,5/8/1984,LT50380321984129,Utah,446,UTAHDWQ,1418,33,21,LANDSAT/LT5_SR,4917310
1509,1,1,1921,5/8/1984,LT50380321984129,Utah,518,UTAHDWQ,1588,34,56,LANDSAT/LT5_SR,4917370
1342,1,1,1730,5/8/1984,LT50380321984129,Utah,449,UTAHDWQ,1445,35,56,LANDSAT/LT5_SR,4917390
722,1,1,1054,5/8/1984,LT50380321984129,Utah,480,UTAHDWQ,988,56,90,LANDSAT/LT5_SR,4917450
1347,1,1,1823,5/8/1984,LT50380321984129,Utah,488,UTAHDWQ,1530,37,-10,LANDSAT/LT5_SR,4917500
1341,1,1,1730,5/8/1984,LT50380321984129,Utah,414,UTAHDWQ,1446,57,56,LANDSAT/LT5_SR,4917520
580,1,1,967,5/8/1984,LT50380321984129,Utah,389,UTAHDWQ,740,84,23,LANDSAT/LT5_SR,4917600
896,1,1,1410,5/8/1984,LT50380321984129,Utah,379,UTAHDWQ,1217,34,21,LANDSAT/LT5_SR,4917770
1310,1,1,1705,6/9/1984,LT50380321984161,Utah,506,UTAHDWQ,1353,84,48,LANDSAT/LT5_SR,4917310
1622,1,1,2027,6/9/1984,LT50380321984161,Utah,582,UTAHDWQ,1584,156,151,LANDSAT/LT5_SR,4917370
1286,1,1,1698,6/9/1984,LT50380321984161,Utah,384,UTAHDWQ,1325,46,51,LANDSAT/LT5_SR,4917390
852,1,1,1214,6/9/1984,LT50380321984161,Utah,486,UTAHDWQ,1153,69,51,LANDSAT/LT5_SR,4917450
1564,1,1,1959,6/9/1984,LT50380321984161,Utah,486,UTAHDWQ,1497,68,85,LANDSAT/LT5_SR,4917500
1857,4,3,2292,6/9/1984,LT50380321984161,Utah,893,UTAHDWQ,1931,383,357,LANDSAT/LT5_SR,4917520
1272,1,1,1701,6/9/1984,LT50380321984161,Utah,691,UTAHDWQ,1497,159,84,LANDSAT/LT5_SR,4917600
914,1,1,1343,6/9/1984,LT50380321984161,Utah,485,UTAHDWQ,1296,45,51,LANDSAT/LT5_SR,4917770
20000,4,3,5172,6/25/1984,LT50380321984177,Utah,5805,UTAHDWQ,5096,5250,4480,LANDSAT/LT5_SR,4917310
2093,4,3,2484,6/25/1984,LT50380321984177,Utah,1781,UTAHDWQ,2067,1735,1664,LANDSAT/LT5_SR,4917370
1286,4,3,1663,6/25/1984,LT50380321984177,Utah,857,UTAHDWQ,1271,586,510,LANDSAT/LT5_SR,4917390
1255,4,3,1598,6/25/1984,LT50380321984177,Utah,1395,UTAHDWQ,1560,1012,898,LANDSAT/LT5_SR,4917450
1783,4,3,2240,6/25/1984,LT50380321984177,Utah,1323,UTAHDWQ,1788,1293,1072,LANDSAT/LT5_SR,4917500
1013,4,3,1247,6/25/1984,LT50380321984177,Utah,939,UTAHDWQ,993,568,577,LANDSAT/LT5_SR,4917520
20000,4,3,5052,6/25/1984,LT50380321984177,Utah,5978,UTAHDWQ,5125,5763,5252,LANDSAT/LT5_SR,4917600
1488,4,2,2021,6/25/1984,LT50380321984177,Utah,1215,UTAHDWQ,1791,822,686,LANDSAT/LT5_SR,4917770
542,,,867,8/5/1984,LT50370321984218,Utah,682,UTAHDWQ,793,94,128,LANDSAT/LT5_SR,4917450
753,1,1,1072,9/22/1984,LT50370321984266,Utah,729,UTAHDWQ,991,39,24,LANDSAT/LT5_SR,4917450
994,1,1,1389,6/12/1985,LT50380321985163,Utah,330,UTAHDWQ,1007,29,19,LANDSAT/LT5_SR,4917310
1165,1,1,1543,6/12/1985,LT50380321985163,Utah,305,UTAHDWQ,1094,33,54,LANDSAT/LT5_SR,4917370
979,1,1,1358,6/12/1985,LT50380321985163,Utah,313,UTAHDWQ,1096,60,22,LANDSAT/LT5_SR,4917390
587,1,1,829,6/12/1985,LT50380321985163,Utah,306,UTAHDWQ,679,11,55,LANDSAT/LT5_SR,4917450
1197,1,1,1545,6/12/1985,LT50380321985163,Utah,305,UTAHDWQ,1122,56,-45,LANDSAT/LT5_SR,4917500
1308,1,1,1733,6/12/1985,LT50380321985163,Utah,537,UTAHDWQ,1398,166,156,LANDSAT/LT5_SR,4917520
1128,1,1,1573,6/12/1985,LT50380321985163,Utah,483,UTAHDWQ,1343,128,124,LANDSAT/LT5_SR,4917600
880,1,1,1326,6/12/1985,LT50380321985163,Utah,404,UTAHDWQ,1231,9,-12,LANDSAT/LT5_SR,4917770
1397,4,1,1783,6/28/1985,LT50380321985179,Utah,1182,UTAHDWQ,1408,618,531,LANDSAT/LT5_SR,4917310
1778,4,2,2195,6/28/1985,LT50380321985179,Utah,1354,UTAHDWQ,1777,869,736,LANDSAT/LT5_SR,4917370
1134,1,1,1558,6/28/1985,LT50380321985179,Utah,385,UTAHDWQ,1122,68,85,LANDSAT/LT5_SR,4917390
737,1,1,1045,6/28/1985,LT50380321985179,Utah,597,UTAHDWQ,1039,49,86,LANDSAT/LT5_SR,4917450
1292,4,1,1558,6/28/1985,LT50380321985179,Utah,769,UTAHDWQ,1181,436,325,LANDSAT/LT5_SR,4917500
2153,4,3,2414,6/28/1985,LT50380321985179,Utah,2107,UTAHDWQ,2227,1166,1009,LANDSAT/LT5_SR,4917520
1415,4,3,1747,6/28/1985,LT50380321985179,Utah,1864,UTAHDWQ,1492,960,768,LANDSAT/LT5_SR,4917600
638,1,1,1075,6/28/1985,LT50380321985179,Utah,561,UTAHDWQ,837,69,85,LANDSAT/LT5_SR,4917770
559,1,1,974,7/14/1985,LT50380321985195,Utah,625,UTAHDWQ,599,51,19,LANDSAT/LT5_SR,4917310
1235,1,1,1656,7/14/1985,LT50380321985195,Utah,487,UTAHDWQ,1296,54,56,LANDSAT/LT5_SR,4917370
828,1,1,1236,7/14/1985,LT50380321985195,Utah,518,UTAHDWQ,862,52,55,LANDSAT/LT5_SR,4917390
592,1,1,910,7/14/1985,LT50380321985195,Utah,876,UTAHDWQ,775,76,55,LANDSAT/LT5_SR,4917450
1213,1,1,1625,7/14/1985,LT50380321985195,Utah,422,UTAHDWQ,1241,57,92,LANDSAT/LT5_SR,4917500
1306,1,1,1728,7/14/1985,LT50380321985195,Utah,581,UTAHDWQ,1382,95,124,LANDSAT/LT5_SR,4917520
650,0,1,1025,7/14/1985,LT50380321985195,Utah,920,UTAHDWQ,708,38,59,LANDSAT/LT5_SR,4917600
764,1,1,1269,7/14/1985,LT50380321985195,Utah,553,UTAHDWQ,977,51,19,LANDSAT/LT5_SR,4917770
1234,1,1,1751,7/30/1985,LT50380321985211,Utah,820,UTAHDWQ,1453,318,272,LANDSAT/LT5_SR,4917310
1410,1,1,1849,7/30/1985,LT50380321985211,Utah,674,UTAHDWQ,1631,198,164,LANDSAT/LT5_SR,4917370
1154,1,1,1749,7/30/1985,LT50380321985211,Utah,712,UTAHDWQ,1334,173,127,LANDSAT/LT5_SR,4917390
998,1,1,1281,7/30/1985,LT50380321985211,Utah,1077,UTAHDWQ,1275,368,344,LANDSAT/LT5_SR,4917450
1294,1,1,1743,7/30/1985,LT50380321985211,Utah,506,UTAHDWQ,1394,35,58,LANDSAT/LT5_SR,4917500
