"","Blue","CloudMask","CloudMaskConfidence","FieldValue","Green","ImageDate","ImageName","Lake","MaxDepth","Method","NIR","Organization","Red","SWIR1","SWIR2","SampleDepth","SamplingDate","Sensor","StationID","AbsDiffInDays","Dataset"
"297",1535,1,1,37.6,1950,2008-07-13,"LT50380322008195","Utah",-9999,"Water Grab Sampling",489,"UTAHDWQ",1469,94,85,-9999,2008-07-23,"LANDSAT/LT5_SR",4917500,10,"Calibration"
"298",996,1,1,37.6,1450,2008-07-29,"LT50380322008211","Utah",-9999,"Water Grab Sampling",251,"UTAHDWQ",896,61,23,-9999,2008-07-23,"LANDSAT/LT5_SR",4917500,6,"Calibration"
"299",1142,1,1,155.7,1611,2008-07-13,"LT50380322008195","Utah",-9999,"Water Grab Sampling",624,"UTAHDWQ",1302,115,118,-9999,2008-07-23,"LANDSAT/LT5_SR",4917600,10,"Calibration"
"300",801,1,1,155.7,1276,2008-07-29,"LT50380322008211","Utah",-9999,"Water Grab Sampling",509,"UTAHDWQ",942,28,53,-9999,2008-07-23,"LANDSAT/LT5_SR",4917600,6,"Calibration"
"301",1344,1,1,31.2,1815,2008-07-13,"LT50380322008195","Utah",-9999,"Water Grab Sampling",622,"UTAHDWQ",1357,182,254,-9999,2008-07-23,"LANDSAT/LT5_SR",4917310,10,"Calibration"
"302",626,1,1,31.2,1035,2008-07-29,"LT50380322008211","Utah",-9999,"Water Grab Sampling",314,"UTAHDWQ",610,35,56,-9999,2008-07-23,"LANDSAT/LT5_SR",4917310,6,"Calibration"
"303",1288,1,1,20.8,1715,2008-07-13,"LT50380322008195","Utah",-9999,"Water Grab Sampling",583,"UTAHDWQ",1243,203,186,-9999,2008-07-23,"LANDSAT/LT5_SR",4917370,10,"Calibration"
"304",1013,1,1,20.8,1484,2008-07-29,"LT50380322008211","Utah",-9999,"Water Grab Sampling",409,"UTAHDWQ",1057,54,20,-9999,2008-07-23,"LANDSAT/LT5_SR",4917370,6,"Calibration"
"305",1235,1,1,15,1681,2008-07-13,"LT50380322008195","Utah",-9999,"Water Grab Sampling",441,"UTAHDWQ",1243,64,49,-9999,2008-07-23,"LANDSAT/LT5_SR",4917390,10,"Calibration"
"306",514,1,1,15,851,2008-07-29,"LT50380322008211","Utah",-9999,"Water Grab Sampling",334,"UTAHDWQ",426,52,19,-9999,2008-07-23,"LANDSAT/LT5_SR",4917390,6,"Calibration"
"308",515,1,1,140.1,879,2008-07-13,"LT50380322008195","Utah",-9999,"Water Grab Sampling",686,"UTAHDWQ",593,66,50,-9999,2008-07-23,"LANDSAT/LT5_SR",4917450,10,"Calibration"
"310",1377,1,1,39.8,1884,2008-07-13,"LT50380322008195","Utah",-9999,"Water Grab Sampling",621,"UTAHDWQ",1440,227,186,-9999,2008-07-23,"LANDSAT/LT5_SR",4917520,10,"Calibration"
"311",1083,1,1,39.8,1587,2008-07-29,"LT50380322008211","Utah",-9999,"Water Grab Sampling",410,"UTAHDWQ",1142,55,21,-9999,2008-07-23,"LANDSAT/LT5_SR",4917520,6,"Calibration"
"313",660,1,1,22.6,1161,2008-08-14,"LT50380322008227","Utah",-9999,"Water Grab Sampling",404,"UTAHDWQ",731,63,59,-9999,2008-08-04,"LANDSAT/LT5_SR",4917500,10,"Calibration"
"316",517,1,1,80.5,1018,2008-08-14,"LT50380322008227","Utah",-9999,"Water Grab Sampling",298,"UTAHDWQ",702,63,23,-9999,2008-08-04,"LANDSAT/LT5_SR",4917600,10,"Calibration"
"319",343,1,1,75.6,618,2008-08-14,"LT50380322008227","Utah",-9999,"Water Grab Sampling",399,"UTAHDWQ",375,60,94,-9999,2008-08-04,"LANDSAT/LT5_SR",4917310,10,"Calibration"
"322",785,1,1,77.8,1336,2008-08-14,"LT50380322008227","Utah",-9999,"Water Grab Sampling",394,"UTAHDWQ",898,10,21,-9999,2008-08-04,"LANDSAT/LT5_SR",4917370,10,"Calibration"
"329",314,1,1,109.7,686,2008-08-14,"LT50380322008227","Utah",-9999,"Water Grab Sampling",503,"UTAHDWQ",429,59,57,-9999,2008-08-04,"LANDSAT/LT5_SR",4917450,10,"Calibration"
"332",520,1,1,51.8,1007,2008-08-14,"LT50380322008227","Utah",-9999,"Water Grab Sampling",461,"UTAHDWQ",628,104,92,-9999,2008-08-04,"LANDSAT/LT5_SR",4917520,10,"Calibration"
"334",1193,1,1,25.7,1555,2008-09-15,"LT50380322008259","Utah",-9999,"Water Grab Sampling",333,"UTAHDWQ",1150,44,26,-9999,2008-09-17,"LANDSAT/LT5_SR",4917500,2,"Calibration"
"335",1101,1,1,25.7,1419,2008-09-07,"LE70380322008251","Utah",-9999,"Water Grab Sampling",187,"UTAHDWQ",938,14,19,-9999,2008-09-17,"LANDSAT/LE7_SR",4917500,10,"Calibration"
"337",640,1,1,112,1202,2008-09-15,"LT50380322008259","Utah",-9999,"Water Grab Sampling",448,"UTAHDWQ",924,69,65,-9999,2008-09-17,"LANDSAT/LT5_SR",4917600,2,"Calibration"
"338",619,1,1,112,1137,2008-09-07,"LE70380322008251","Utah",-9999,"Water Grab Sampling",536,"UTAHDWQ",834,20,22,-9999,2008-09-17,"LANDSAT/LE7_SR",4917600,10,"Calibration"
"342",739,1,1,31.5,1156,2008-09-15,"LT50380322008259","Utah",-9999,"Water Grab Sampling",321,"UTAHDWQ",886,39,24,-9999,2008-09-17,"LANDSAT/LT5_SR",4917770,2,"Calibration"
"345",844,1,1,24.6,1277,2008-09-15,"LT50380322008259","Utah",-9999,"Water Grab Sampling",245,"UTAHDWQ",789,14,24,-9999,2008-09-17,"LANDSAT/LT5_SR",4917310,2,"Calibration"
"348",1106,1,1,20.3,1598,2008-09-15,"LT50380322008259","Utah",-9999,"Water Grab Sampling",442,"UTAHDWQ",1213,40,24,-9999,2008-09-17,"LANDSAT/LT5_SR",4917370,2,"Calibration"
"349",1157,1,1,20.3,1647,2008-09-07,"LE70380322008251","Utah",-9999,"Water Grab Sampling",394,"UTAHDWQ",1254,49,18,-9999,2008-09-17,"LANDSAT/LE7_SR",4917370,10,"Calibration"
"352",742,1,1,32.4,1031,2008-09-07,"LE70380322008251","Utah",-9999,"Water Grab Sampling",274,"UTAHDWQ",710,15,59,-9999,2008-09-17,"LANDSAT/LE7_SR",4917390,10,"Calibration"
"354",327,1,1,139.6,654,2008-09-08,"LT50370322008252","Utah",-9999,"Water Grab Sampling",483,"UTAHDWQ",410,27,18,-9999,2008-09-17,"LANDSAT/LT5_SR",4917450,9,"Calibration"
"355",295,0,1,139.6,657,2008-09-24,"LT50370322008268","Utah",-9999,"Water Grab Sampling",497,"UTAHDWQ",367,9,22,-9999,2008-09-17,"LANDSAT/LT5_SR",4917450,7,"Calibration"
"356",257,1,1,139.6,594,2008-09-15,"LT50380322008259","Utah",-9999,"Water Grab Sampling",483,"UTAHDWQ",399,15,64,-9999,2008-09-17,"LANDSAT/LT5_SR",4917450,2,"Calibration"
"360",903,1,1,17.5,1386,2008-09-07,"LE70380322008251","Utah",-9999,"Water Grab Sampling",300,"UTAHDWQ",901,45,16,-9999,2008-09-17,"LANDSAT/LE7_SR",4917520,10,"Calibration"
"363",794,1,1,5,1212,2009-06-30,"LT50380322009181","Utah",-9999,"Chlorophyll-A (Colorimet)",219,"UTAHDWQ",678,72,51,-9999,2009-06-22,"LANDSAT/LT5_SR",4917390,8,"Calibration"
"364",1748,1,1,5,2172,2009-06-22,"LE70380322009173","Utah",-9999,"Chlorophyll-A (Colorimet)",761,"UTAHDWQ",1866,394,346,-9999,2009-06-22,"LANDSAT/LE7_SR",4917390,0,"Calibration"
"366",1148,1,1,5,1648,2009-06-30,"LT50380322009181","Utah",-9999,"Chlorophyll-A (Colorimet)",488,"UTAHDWQ",1144,229,220,-9999,2009-06-22,"LANDSAT/LT5_SR",4917770,8,"Calibration"
"367",996,1,1,5,1392,2009-06-22,"LE70380322009173","Utah",-9999,"Chlorophyll-A (Colorimet)",427,"UTAHDWQ",1096,164,147,-9999,2009-06-22,"LANDSAT/LE7_SR",4917770,0,"Calibration"
"369",945,1,1,5.2,1411,2009-06-30,"LT50380322009181","Utah",-9999,"Chlorophyll-A (Colorimet)",232,"UTAHDWQ",802,42,48,-9999,2009-06-22,"LANDSAT/LT5_SR",4917370,8,"Calibration"
"372",1100,1,1,6.3,1549,2009-06-30,"LT50380322009181","Utah",-9999,"Chlorophyll-A (Colorimet)",253,"UTAHDWQ",953,50,51,-9999,2009-06-22,"LANDSAT/LT5_SR",4917500,8,"Calibration"
