"","Blue","CloudMask","CloudMaskConfidence","Green","ImageDate","ImageName","Lake","NIR","Organization","Red","SWIR1","SWIR2","Sensor","StationID","Dataset"
"1",1295,1,1,1763,1984-05-08,"LT50380321984129","Utah",446,"UTAHDWQ",1418,33,21,"LANDSAT/LT5_SR",4917310,"Estimated"
"2",1509,1,1,1921,1984-05-08,"LT50380321984129","Utah",518,"UTAHDWQ",1588,34,56,"LANDSAT/LT5_SR",4917370,"Estimated"
"3",1342,1,1,1730,1984-05-08,"LT50380321984129","Utah",449,"UTAHDWQ",1445,35,56,"LANDSAT/LT5_SR",4917390,"Estimated"
"4",722,1,1,1054,1984-05-08,"LT50380321984129","Utah",480,"UTAHDWQ",988,56,90,"LANDSAT/LT5_SR",4917450,"Estimated"
"6",1341,1,1,1730,1984-05-08,"LT50380321984129","Utah",414,"UTAHDWQ",1446,57,56,"LANDSAT/LT5_SR",4917520,"Estimated"
"7",580,1,1,967,1984-05-08,"LT50380321984129","Utah",389,"UTAHDWQ",740,84,23,"LANDSAT/LT5_SR",4917600,"Estimated"
"8",896,1,1,1410,1984-05-08,"LT50380321984129","Utah",379,"UTAHDWQ",1217,34,21,"LANDSAT/LT5_SR",4917770,"Estimated"
"9",1310,1,1,1705,1984-06-09,"LT50380321984161","Utah",506,"UTAHDWQ",1353,84,48,"LANDSAT/LT5_SR",4917310,"Estimated"
"10",1622,1,1,2027,1984-06-09,"LT50380321984161","Utah",582,"UTAHDWQ",1584,156,151,"LANDSAT/LT5_SR",4917370,"Estimated"
"11",1286,1,1,1698,1984-06-09,"LT50380321984161","Utah",384,"UTAHDWQ",1325,46,51,"LANDSAT/LT5_SR",4917390,"Estimated"
"12",852,1,1,1214,1984-06-09,"LT50380321984161","Utah",486,"UTAHDWQ",1153,69,51,"LANDSAT/LT5_SR",4917450,"Estimated"
"13",1564,1,1,1959,1984-06-09,"LT50380321984161","Utah",486,"UTAHDWQ",1497,68,85,"LANDSAT/LT5_SR",4917500,"Estimated"
"15",1272,1,1,1701,1984-06-09,"LT50380321984161","Utah",691,"UTAHDWQ",1497,159,84,"LANDSAT/LT5_SR",4917600,"Estimated"
"16",914,1,1,1343,1984-06-09,"LT50380321984161","Utah",485,"UTAHDWQ",1296,45,51,"LANDSAT/LT5_SR",4917770,"Estimated"
"26",753,1,1,1072,1984-09-22,"LT50370321984266","Utah",729,"UTAHDWQ",991,39,24,"LANDSAT/LT5_SR",4917450,"Estimated"
"27",994,1,1,1389,1985-06-12,"LT50380321985163","Utah",330,"UTAHDWQ",1007,29,19,"LANDSAT/LT5_SR",4917310,"Estimated"
"28",1165,1,1,1543,1985-06-12,"LT50380321985163","Utah",305,"UTAHDWQ",1094,33,54,"LANDSAT/LT5_SR",4917370,"Estimated"
"29",979,1,1,1358,1985-06-12,"LT50380321985163","Utah",313,"UTAHDWQ",1096,60,22,"LANDSAT/LT5_SR",4917390,"Estimated"
